draw_no,draw_date,n1,n2,n3,n4,n5,source
96000001,2007/1/1,9,11,27,28,38,pilio
96000002,2007/1/2,2,12,33,36,37,pilio
96000003,2007/1/3,22,23,27,29,30,pilio
96000004,2007/1/4,3,9,23,32,39,pilio
96000005,2007/1/5,9,12,13,15,26,pilio
96000006,2007/1/8,8,11,13,24,39,pilio
96000007,2007/1/9,5,8,14,17,28,pilio
96000008,2007/1/10,5,30,34,35,38,pilio
96000009,2007/1/11,7,15,18,20,37,pilio
96000010,2007/1/12,6,21,23,26,33,pilio
96000011,2007/1/15,1,13,15,20,25,pilio
96000012,2007/1/16,6,13,27,31,32,pilio
96000013,2007/1/17,11,25,26,27,30,pilio
96000014,2007/1/18,10,15,20,22,28,pilio
96000015,2007/1/19,10,11,17,21,38,pilio
96000016,2007/1/22,10,13,15,28,39,pilio
96000017,2007/1/23,7,17,24,30,39,pilio
96000018,2007/1/24,3,4,15,23,34,pilio
96000019,2007/1/25,8,10,14,21,24,pilio
96000020,2007/1/26,6,8,10,36,37,pilio
96000021,2007/1/29,3,8,11,17,38,pilio
96000022,2007/1/30,5,10,12,15,27,pilio
96000023,2007/1/31,3,4,15,29,34,pilio
96000024,2007/2/1,13,18,25,26,36,pilio
96000025,2007/2/2,6,11,12,15,35,pilio
96000026,2007/2/5,3,16,19,20,31,pilio
96000027,2007/2/6,2,13,14,29,39,pilio
96000028,2007/2/7,7,11,23,32,35,pilio
96000029,2007/2/8,5,10,31,37,39,pilio
96000030,2007/2/9,7,16,20,25,27,pilio
96000031,2007/2/12,13,15,16,23,34,pilio
96000032,2007/2/13,2,22,28,29,34,pilio
96000033,2007/2/14,1,15,20,23,28,pilio
96000034,2007/2/15,6,24,27,28,33,pilio
96000035,2007/2/16,24,28,29,32,37,pilio
96000036,2007/2/19,9,12,24,34,37,pilio
96000037,2007/2/20,4,6,17,31,36,pilio
96000038,2007/2/21,8,18,20,32,34,pilio
96000039,2007/2/22,9,17,20,21,37,pilio
96000040,2007/2/23,9,12,16,19,25,pilio
96000041,2007/2/26,6,20,23,25,28,pilio
96000042,2007/2/27,9,12,19,23,34,pilio
96000043,2007/2/28,9,11,21,22,38,pilio
96000044,2007/3/1,2,3,12,18,31,pilio
96000045,2007/3/2,7,22,23,33,37,pilio
96000046,2007/3/5,5,11,19,21,25,pilio
96000047,2007/3/6,12,16,17,19,34,pilio
96000048,2007/3/7,2,12,19,30,34,pilio
96000049,2007/3/8,7,11,20,31,34,pilio
96000050,2007/3/9,2,17,30,31,38,pilio
96000051,2007/3/12,8,15,25,27,38,pilio
96000052,2007/3/13,6,9,16,18,22,pilio
96000053,2007/3/14,6,9,16,37,39,pilio
96000054,2007/3/15,1,7,21,27,33,pilio
96000055,2007/3/16,1,2,18,26,38,pilio
96000056,2007/3/19,5,20,24,28,39,pilio
96000057,2007/3/20,2,10,14,18,22,pilio
96000058,2007/3/21,6,14,34,37,38,pilio
96000059,2007/3/22,7,25,26,34,36,pilio
96000060,2007/3/23,12,19,20,29,32,pilio
96000061,2007/3/26,26,27,32,33,36,pilio
96000062,2007/3/27,11,20,36,37,38,pilio
96000063,2007/3/28,9,25,28,34,37,pilio
96000064,2007/3/29,8,22,23,27,29,pilio
96000065,2007/3/30,6,19,22,33,37,pilio
96000066,2007/4/2,1,7,21,33,35,pilio
96000067,2007/4/3,10,11,13,29,31,pilio
96000068,2007/4/4,1,19,30,34,35,pilio
96000069,2007/4/5,7,21,22,23,36,pilio
96000070,2007/4/6,4,7,12,33,34,pilio
96000071,2007/4/9,11,30,32,34,39,pilio
96000072,2007/4/10,6,8,9,30,39,pilio
96000073,2007/4/11,25,26,31,37,39,pilio
96000074,2007/4/12,1,9,11,17,25,pilio
96000075,2007/4/13,22,24,27,32,37,pilio
96000076,2007/4/16,14,18,26,28,36,pilio
96000077,2007/4/17,2,11,24,31,32,pilio
96000078,2007/4/18,3,12,22,38,39,pilio
96000079,2007/4/19,1,14,20,22,36,pilio
96000080,2007/4/20,3,6,22,37,39,pilio
96000081,2007/4/23,2,7,10,13,30,pilio
96000082,2007/4/24,1,4,6,9,16,pilio
96000083,2007/4/25,13,15,19,29,37,pilio
96000084,2007/4/26,5,7,15,32,39,pilio
96000085,2007/4/27,8,10,21,23,39,pilio
96000086,2007/4/30,4,7,12,17,29,pilio
96000087,2007/5/1,1,10,22,34,39,pilio
96000088,2007/5/2,4,23,34,37,39,pilio
96000089,2007/5/3,1,5,18,25,37,pilio
96000090,2007/5/4,7,8,9,12,14,pilio
96000091,2007/5/7,4,9,18,27,28,pilio
96000092,2007/5/8,2,10,18,23,33,pilio
96000093,2007/5/9,3,15,30,35,36,pilio
96000094,2007/5/10,14,19,22,25,35,pilio
96000095,2007/5/11,15,18,19,21,24,pilio
96000096,2007/5/14,2,9,10,14,39,pilio
96000097,2007/5/15,5,8,11,23,38,pilio
96000098,2007/5/16,1,11,18,21,24,pilio
96000099,2007/5/17,4,5,6,13,33,pilio
96000100,2007/5/18,6,11,15,37,39,pilio
96000101,2007/5/21,8,15,20,23,25,pilio
96000102,2007/5/22,1,13,18,31,32,pilio
96000103,2007/5/23,4,8,21,29,32,pilio
96000104,2007/5/24,7,8,13,30,35,pilio
96000105,2007/5/25,4,13,19,23,35,pilio
96000106,2007/5/28,4,5,10,17,37,pilio
96000107,2007/5/29,10,14,15,29,35,pilio
96000108,2007/5/30,5,20,33,38,39,pilio
96000109,2007/5/31,21,28,33,35,38,pilio
96000110,2007/6/1,1,3,7,13,28,pilio
96000111,2007/6/4,4,7,13,32,36,pilio
96000112,2007/6/5,6,8,18,25,35,pilio
96000113,2007/6/6,7,20,21,28,33,pilio
96000114,2007/6/7,1,7,18,19,21,pilio
96000115,2007/6/8,1,7,10,16,37,pilio
96000116,2007/6/11,7,14,27,29,30,pilio
96000117,2007/6/12,5,15,23,27,34,pilio
96000118,2007/6/13,1,2,3,20,25,pilio
96000119,2007/6/14,6,10,12,26,39,pilio
96000120,2007/6/15,2,12,23,25,27,pilio
96000121,2007/6/18,2,3,5,12,16,pilio
96000122,2007/6/19,1,6,8,10,28,pilio
96000123,2007/6/20,7,11,12,23,38,pilio
96000124,2007/6/21,18,19,28,35,39,pilio
96000125,2007/6/22,9,11,20,22,25,pilio
96000126,2007/6/25,20,22,23,24,34,pilio
96000127,2007/6/26,1,4,15,25,33,pilio
96000128,2007/6/27,3,6,14,20,21,pilio
96000129,2007/6/28,1,19,22,35,36,pilio
96000130,2007/6/29,25,31,33,34,37,pilio
96000131,2007/7/2,3,13,21,28,32,pilio
96000132,2007/7/3,15,17,23,25,38,pilio
96000133,2007/7/4,10,17,18,19,29,pilio
96000134,2007/7/5,1,2,11,23,37,pilio
96000135,2007/7/6,6,31,34,35,39,pilio
96000136,2007/7/9,8,12,24,34,35,pilio
96000137,2007/7/10,1,8,12,19,29,pilio
96000138,2007/7/11,5,14,19,20,29,pilio
96000139,2007/7/12,8,13,21,27,32,pilio
96000140,2007/7/13,1,3,20,26,31,pilio
96000141,2007/7/16,15,16,22,35,39,pilio
96000142,2007/7/17,5,17,23,27,30,pilio
96000143,2007/7/18,3,21,24,33,34,pilio
96000144,2007/7/19,1,6,19,24,37,pilio
96000145,2007/7/20,17,25,34,35,38,pilio
96000146,2007/7/23,3,11,15,20,36,pilio
96000147,2007/7/24,5,12,19,28,34,pilio
96000148,2007/7/25,1,9,10,19,21,pilio
96000149,2007/7/26,7,20,24,33,34,pilio
96000150,2007/7/27,8,11,12,18,21,pilio
96000151,2007/7/30,4,8,12,15,20,pilio
96000152,2007/7/31,7,14,17,37,39,pilio
96000153,2007/8/1,4,9,28,32,36,pilio
96000154,2007/8/2,9,15,21,35,39,pilio
96000155,2007/8/3,4,8,12,13,32,pilio
96000156,2007/8/6,2,8,13,33,36,pilio
96000157,2007/8/7,9,10,23,31,36,pilio
96000158,2007/8/8,7,11,12,27,29,pilio
96000159,2007/8/9,2,9,22,24,38,pilio
96000160,2007/8/10,13,16,17,26,33,pilio
96000161,2007/8/13,1,15,24,29,31,pilio
96000162,2007/8/14,4,15,25,26,36,pilio
96000163,2007/8/15,5,12,28,30,32,pilio
96000164,2007/8/16,7,14,29,30,35,pilio
96000165,2007/8/17,5,16,23,30,35,pilio
96000166,2007/8/20,4,17,23,26,28,pilio
96000167,2007/8/21,1,7,19,26,29,pilio
96000168,2007/8/22,3,17,22,31,34,pilio
96000169,2007/8/23,4,7,16,20,28,pilio
96000170,2007/8/24,2,7,12,16,39,pilio
96000171,2007/8/27,10,12,19,23,36,pilio
96000172,2007/8/28,4,7,14,29,36,pilio
96000173,2007/8/29,15,18,25,32,34,pilio
96000174,2007/8/30,7,14,25,28,37,pilio
96000175,2007/8/31,14,20,22,27,29,pilio
96000176,2007/9/3,12,18,24,27,33,pilio
96000177,2007/9/4,5,7,18,24,35,pilio
96000178,2007/9/5,1,28,31,34,38,pilio
96000179,2007/9/6,8,19,28,31,33,pilio
96000180,2007/9/7,2,19,23,30,37,pilio
96000181,2007/9/10,13,19,28,32,37,pilio
96000182,2007/9/11,4,21,27,35,38,pilio
96000183,2007/9/12,7,10,17,23,35,pilio
96000184,2007/9/13,1,3,10,15,26,pilio
96000185,2007/9/14,11,23,24,36,39,pilio
96000186,2007/9/17,16,24,25,26,30,pilio
96000187,2007/9/18,1,11,13,24,27,pilio
96000188,2007/9/19,4,6,17,24,37,pilio
96000189,2007/9/20,7,13,20,25,26,pilio
96000190,2007/9/21,12,17,24,34,38,pilio
96000191,2007/9/24,2,3,31,36,37,pilio
96000192,2007/9/25,1,17,19,27,36,pilio
